"","incits","county or equivalent","state or equivalent"
"2039","38069","Pierce County","North Dakota"
"2040","38071","Ramsey County","North Dakota"
"2041","38073","Ransom County","North Dakota"
"2042","38075","Renville County","North Dakota"
"2043","38077","Richland County","North Dakota"
"2044","38079","Rolette County","North Dakota"
"2045","38081","Sargent County","North Dakota"
"2046","38083","Sheridan County","North Dakota"
"2047","38085","Sioux County","North Dakota"
"2048","38087","Slope County","North Dakota"
"2049","38089","Stark County","North Dakota"
"2050","38091","Steele County","North Dakota"
"2051","38093","Stutsman County","North Dakota"
"2052","38095","Towner County","North Dakota"
"2053","38097","Traill County","North Dakota"
"2054","38099","Walsh County","North Dakota"
"2055","38101","Ward County","North Dakota"
"2056","38103","Wells County","North Dakota"
"2057","38105","Williams County","North Dakota"
"2058","69085","Northern Islands Municipality[4]","Northern Mariana Islands"
"2059","69100","Rota Municipality","Northern Mariana Islands"
"2060","69110","Saipan Municipality","Northern Mariana Islands"
"2061","69120","Tinian Municipality","Northern Mariana Islands"
"2062","39001","Adams County","Ohio"
"2063","39003","Allen County","Ohio"
"2064","39005","Ashland County","Ohio"
"2065","39007","Ashtabula County","Ohio"
"2066","39009","Athens County","Ohio"
"2067","39011","Auglaize County","Ohio"
"2068","39013","Belmont County","Ohio"
"2069","39015","Brown County","Ohio"
"2070","39017","Butler County","Ohio"
"2071","39019","Carroll County","Ohio"
"2072","39021","Champaign County","Ohio"
"2073","39023","Clark County","Ohio"
"2074","39025","Clermont County","Ohio"
"2075","39027","Clinton County","Ohio"
"2076","39029","Columbiana County","Ohio"
"2077","39031","Coshocton County","Ohio"
"2078","39033","Crawford County","Ohio"
"2079","39035","Cuyahoga County","Ohio"
"2080","39037","Darke County","Ohio"
"2081","39039","Defiance County","Ohio"
"2082","39041","Delaware County","Ohio"
"2083","39043","Erie County","Ohio"
"2084","39045","Fairfield County","Ohio"
"2085","39047","Fayette County","Ohio"
"2086","39049","Franklin County","Ohio"
"2087","39051","Fulton County","Ohio"
"2088","39053","Gallia County","Ohio"
"2089","39055","Geauga County","Ohio"
"2090","39057","Greene County","Ohio"
"2091","39059","Guernsey County","Ohio"
"2092","39061","Hamilton County","Ohio"
"2093","39063","Hancock County","Ohio"
"2094","39065","Hardin County","Ohio"
"2095","39067","Harrison County","Ohio"
"2096","39069","Henry County","Ohio"
"2097","39071","Highland County","Ohio"
"2098","39073","Hocking County","Ohio"
"2099","39075","Holmes County","Ohio"
"2100","39077","Huron County","Ohio"
"2101","39079","Jackson County","Ohio"
"2102","39081","Jefferson County","Ohio"
"2103","39083","Knox County","Ohio"
"2104","39085","Lake County","Ohio"
"2105","39087","Lawrence County","Ohio"
"2106","39089","Licking County","Ohio"
"2107","39091","Logan County","Ohio"
"2108","39093","Lorain County","Ohio"
"2109","39095","Lucas County","Ohio"
"2110","39097","Madison County","Ohio"
"2111","39099","Mahoning County","Ohio"
"2112","39101","Marion County","Ohio"
"2113","39103","Medina County","Ohio"
"2114","39105","Meigs County","Ohio"
"2115","39107","Mercer County","Ohio"
"2116","39109","Miami County","Ohio"
"2117","39111","Monroe County","Ohio"
"2118","39113","Montgomery County","Ohio"
"2119","39115","Morgan County","Ohio"
"2120","39117","Morrow County","Ohio"
"2121","39119","Muskingum County","Ohio"
"2122","39121","Noble County","Ohio"
"2123","39123","Ottawa County","Ohio"
"2124","39125","Paulding County","Ohio"
"2125","39127","Perry County","Ohio"
"2126","39129","Pickaway County","Ohio"
"2127","39131","Pike County","Ohio"
"2128","39133","Portage County","Ohio"
"2129","39135","Preble County","Ohio"
"2130","39137","Putnam County","Ohio"
"2131","39139","Richland County","Ohio"
"2132","39141","Ross County","Ohio"
"2133","39143","Sandusky County","Ohio"
"2134","39145","Scioto County","Ohio"
"2135","39147","Seneca County","Ohio"
"2136","39149","Shelby County","Ohio"
"2137","39151","Stark County","Ohio"
"2138","39153","Summit County","Ohio"
"2139","39155","Trumbull County","Ohio"
"2140","39157","Tuscarawas County","Ohio"
"2141","39159","Union County","Ohio"
"2142","39161","Van Wert County","Ohio"
"2143","39163","Vinton County","Ohio"
"2144","39165","Warren County","Ohio"
"2145","39167","Washington County","Ohio"
"2146","39169","Wayne County","Ohio"
"2147","39171","Williams County","Ohio"
"2148","39173","Wood County","Ohio"
"2149","39175","Wyandot County","Ohio"
"2150","40001","Adair County","Oklahoma"
"2151","40003","Alfalfa County","Oklahoma"
"2152","40005","Atoka County","Oklahoma"
"2153","40007","Beaver County","Oklahoma"
"2154","40009","Beckham County","Oklahoma"
"2155","40011","Blaine County","Oklahoma"
"2156","40013","Bryan County","Oklahoma"
"2157","40015","Caddo County","Oklahoma"
"2158","40017","Canadian County","Oklahoma"
"2159","40019","Carter County","Oklahoma"
"2160","40021","Cherokee County","Oklahoma"
"2161","40023","Choctaw County","Oklahoma"
"2162","40025","Cimarron County","Oklahoma"
"2163","40027","Cleveland County","Oklahoma"
"2164","40029","Coal County","Oklahoma"
"2165","40031","Comanche County","Oklahoma"
"2166","40033","Cotton County","Oklahoma"
"2167","40035","Craig County","Oklahoma"
"2168","40037","Creek County","Oklahoma"
"2169","40039","Custer County","Oklahoma"
"2170","40041","Delaware County","Oklahoma"
"2171","40043","Dewey County","Oklahoma"
"2172","40045","Ellis County","Oklahoma"
"2173","40047","Garfield County","Oklahoma"
"2174","40049","Garvin County","Oklahoma"
"2175","40051","Grady County","Oklahoma"
"2176","40053","Grant County","Oklahoma"
"2177","40055","Greer County","Oklahoma"
"2178","40057","Harmon County","Oklahoma"
"2179","40059","Harper County","Oklahoma"
"2180","40061","Haskell County","Oklahoma"
"2181","40063","Hughes County","Oklahoma"
"2182","40065","Jackson County","Oklahoma"
"2183","40067","Jefferson County","Oklahoma"
"2184","40069","Johnston County","Oklahoma"
"2185","40071","Kay County","Oklahoma"
"2186","40073","Kingfisher County","Oklahoma"
"2187","40075","Kiowa County","Oklahoma"
"2188","40077","Latimer County","Oklahoma"
"2189","40079","Le Flore County","Oklahoma"
"2190","40081","Lincoln County","Oklahoma"
"2191","40083","Logan County","Oklahoma"
"2192","40085","Love County","Oklahoma"
"2193","40087","McClain County","Oklahoma"
"2194","40089","McCurtain County","Oklahoma"
"2195","40091","McIntosh County","Oklahoma"
"2196","40093","Major County","Oklahoma"
"2197","40095","Marshall County","Oklahoma"
"2198","40097","Mayes County","Oklahoma"
"2199","40099","Murray County","Oklahoma"
"2200","40101","Muskogee County","Oklahoma"
"2201","40103","Noble County","Oklahoma"
"2202","40105","Nowata County","Oklahoma"
"2203","40107","Okfuskee County","Oklahoma"
"2204","40109","Oklahoma County","Oklahoma"
"2205","40111","Okmulgee County","Oklahoma"
"2206","40113","Osage County","Oklahoma"
"2207","40115","Ottawa County","Oklahoma"
"2208","40117","Pawnee County","Oklahoma"
"2209","40119","Payne County","Oklahoma"
"2210","40121","Pittsburg County","Oklahoma"
"2211","40123","Pontotoc County","Oklahoma"
"2212","40125","Pottawatomie County","Oklahoma"
"2213","40127","Pushmataha County","Oklahoma"
"2214","40129","Roger Mills County","Oklahoma"
"2215","40131","Rogers County","Oklahoma"
"2216","40133","Seminole County","Oklahoma"
"2217","40135","Sequoyah County","Oklahoma"
"2218","40137","Stephens County","Oklahoma"
"2219","40139","Texas County","Oklahoma"
"2220","40141","Tillman County","Oklahoma"
"2221","40143","Tulsa County","Oklahoma"
"2222","40145","Wagoner County","Oklahoma"
"2223","40147","Washington County","Oklahoma"
"2224","40149","Washita County","Oklahoma"
"2225","40151","Woods County","Oklahoma"
"2226","40153","Woodward County","Oklahoma"
"2227","41001","Baker County","Oregon"
"2228","41003","Benton County","Oregon"
"2229","41005","Clackamas County","Oregon"
"2230","41007","Clatsop County","Oregon"
"2231","41009","Columbia County","Oregon"
"2232","41011","Coos County","Oregon"
"2233","41013","Crook County","Oregon"
"2234","41015","Curry County","Oregon"
"2235","41017","Deschutes County","Oregon"
"2236","41019","Douglas County","Oregon"
"2237","41021","Gilliam County","Oregon"
"2238","41023","Grant County","Oregon"
"2239","41025","Harney County","Oregon"
"2240","41027","Hood River County","Oregon"
"2241","41029","Jackson County","Oregon"
"2242","41031","Jefferson County","Oregon"
"2243","41033","Josephine County","Oregon"
"2244","41035","Klamath County","Oregon"
"2245","41037","Lake County","Oregon"
"2246","41039","Lane County","Oregon"
"2247","41041","Lincoln County","Oregon"
"2248","41043","Linn County","Oregon"
"2249","41045","Malheur County","Oregon"
"2250","41047","Marion County","Oregon"
"2251","41049","Morrow County","Oregon"
"2252","41051","Multnomah County","Oregon"
"2253","41053","Polk County","Oregon"
"2254","41055","Sherman County","Oregon"
"2255","41057","Tillamook County","Oregon"
"2256","41059","Umatilla County","Oregon"
"2257","41061","Union County","Oregon"
"2258","41063","Wallowa County","Oregon"
"2259","41065","Wasco County","Oregon"
"2260","41067","Washington County","Oregon"
"2261","41069","Wheeler County","Oregon"
"2262","41071","Yamhill County","Oregon"
"2263","42001","Adams County","Pennsylvania"
"2264","42003","Allegheny County","Pennsylvania"
"2265","42005","Armstrong County","Pennsylvania"
"2266","42007","Beaver County","Pennsylvania"
"2267","42009","Bedford County","Pennsylvania"
"2268","42011","Berks County","Pennsylvania"
"2269","42013","Blair County","Pennsylvania"
"2270","42015","Bradford County","Pennsylvania"
"2271","42017","Bucks County","Pennsylvania"
"2272","42019","Butler County","Pennsylvania"
"2273","42021","Cambria County","Pennsylvania"
"2274","42023","Cameron County","Pennsylvania"
"2275","42025","Carbon County","Pennsylvania"
"2276","42027","Centre County","Pennsylvania"
"2277","42029","Chester County","Pennsylvania"
"2278","42031","Clarion County","Pennsylvania"
"2279","42033","Clearfield County","Pennsylvania"
"2280","42035","Clinton County","Pennsylvania"
"2281","42037","Columbia County","Pennsylvania"
"2282","42039","Crawford County","Pennsylvania"
"2283","42041","Cumberland County","Pennsylvania"
"2284","42043","Dauphin County","Pennsylvania"
"2285","42045","Delaware County","Pennsylvania"
"2286","42047","Elk County","Pennsylvania"
"2287","42049","Erie County","Pennsylvania"
"2288","42051","Fayette County","Pennsylvania"
"2289","42053","Forest County","Pennsylvania"
"2290","42055","Franklin County","Pennsylvania"
"2291","42057","Fulton County","Pennsylvania"
"2292","42059","Greene County","Pennsylvania"
"2293","42061","Huntingdon County","Pennsylvania"
"2294","42063","Indiana County","Pennsylvania"
"2295","42065","Jefferson County","Pennsylvania"
"2296","42067","Juniata County","Pennsylvania"
"2297","42069","Lackawanna County","Pennsylvania"
"2298","42071","Lancaster County","Pennsylvania"
"2299","42073","Lawrence County","Pennsylvania"
"2300","42075","Lebanon County","Pennsylvania"
"2301","42077","Lehigh County","Pennsylvania"
"2302","42079","Luzerne County","Pennsylvania"
"2303","42081","Lycoming County","Pennsylvania"
"2304","42083","McKean County","Pennsylvania"
"2305","42085","Mercer County","Pennsylvania"
"2306","42087","Mifflin County","Pennsylvania"
"2307","42089","Monroe County","Pennsylvania"
"2308","42091","Montgomery County","Pennsylvania"
"2309","42093","Montour County","Pennsylvania"
"2310","42095","Northampton County","Pennsylvania"
"2311","42097","Northumberland County","Pennsylvania"
"2312","42099","Perry County","Pennsylvania"
"2313","42101","Philadelphia County[v]","Pennsylvania"
"2314","42103","Pike County","Pennsylvania"
"2315","42105","Potter County","Pennsylvania"
"2316","42107","Schuylkill County","Pennsylvania"
"2317","42109","Snyder County","Pennsylvania"
"2318","42111","Somerset County","Pennsylvania"
"2319","42113","Sullivan County","Pennsylvania"
"2320","42115","Susquehanna County","Pennsylvania"
"2321","42117","Tioga County","Pennsylvania"
"2322","42119","Union County","Pennsylvania"
"2323","42121","Venango County","Pennsylvania"
"2324","42123","Warren County","Pennsylvania"
"2325","42125","Washington County","Pennsylvania"
"2326","42127","Wayne County","Pennsylvania"
"2327","42129","Westmoreland County","Pennsylvania"
"2328","42131","Wyoming County","Pennsylvania"
"2329","42133","York County","Pennsylvania"
"2330","72001","Adjuntas Municipality","Puerto Rico"
"2331","72003","Aguada Municipality","Puerto Rico"
"2332","72005","Aguadilla Municipality","Puerto Rico"
"2333","72007","Aguas Buenas Municipality","Puerto Rico"
"2334","72009","Aibonito Municipality","Puerto Rico"
"2335","72011","Añasco Municipality","Puerto Rico"
"2336","72013","Arecibo Municipality","Puerto Rico"
"2337","72015","Arroyo Municipality","Puerto Rico"
"2338","72017","Barceloneta Municipality","Puerto Rico"
"2339","72019","Barranquitas Municipality","Puerto Rico"
"2340","72021","Bayamón Municipality","Puerto Rico"
"2341","72023","Cabo Rojo Municipality","Puerto Rico"
"2342","72025","Caguas Municipality","Puerto Rico"
"2343","72027","Camuy Municipality","Puerto Rico"
"2344","72029","Canóvanas Municipality","Puerto Rico"
"2345","72031","Carolina Municipality","Puerto Rico"
"2346","72033","Cataño Municipality","Puerto Rico"
"2347","72035","Cayey Municipality","Puerto Rico"
"2348","72037","Ceiba Municipality","Puerto Rico"
"2349","72039","Ciales Municipality","Puerto Rico"
"2350","72041","Cidra Municipality","Puerto Rico"
"2351","72043","Coamo Municipality","Puerto Rico"
"2352","72045","Comerío Municipality","Puerto Rico"
"2353","72047","Corozal Municipality","Puerto Rico"
"2354","72049","Culebra Municipality","Puerto Rico"
"2355","72051","Dorado Municipality","Puerto Rico"
"2356","72053","Fajardo Municipality","Puerto Rico"
"2357","72054","Florida Municipality","Puerto Rico"
"2358","72055","Guánica Municipality","Puerto Rico"
"2359","72057","Guayama Municipality","Puerto Rico"
"2360","72059","Guayanilla Municipality","Puerto Rico"
"2361","72061","Guaynabo Municipality","Puerto Rico"
"2362","72063","Gurabo Municipality","Puerto Rico"
"2363","72065","Hatillo Municipality","Puerto Rico"
"2364","72067","Hormigueros Municipality","Puerto Rico"
"2365","72069","Humacao Municipality","Puerto Rico"
"2366","72071","Isabela Municipality","Puerto Rico"
"2367","72073","Jayuya Municipality","Puerto Rico"
"2368","72075","Juana Díaz Municipality","Puerto Rico"
"2369","72077","Juncos Municipality","Puerto Rico"
"2370","72079","Lajas Municipality","Puerto Rico"
"2371","72081","Lares Municipality","Puerto Rico"
"2372","72083","Las Marías Municipality","Puerto Rico"
"2373","72085","Las Piedras Municipality","Puerto Rico"
"2374","72087","Loíza Municipality","Puerto Rico"
"2375","72089","Luquillo Municipality","Puerto Rico"
"2376","72091","Manatí Municipality","Puerto Rico"
"2377","72093","Maricao Municipality","Puerto Rico"
"2378","72095","Maunabo Municipality","Puerto Rico"
"2379","72097","Mayagüez Municipality","Puerto Rico"
"2380","72099","Moca Municipality","Puerto Rico"
"2381","72101","Morovis Municipality","Puerto Rico"
"2382","72103","Naguabo Municipality","Puerto Rico"
"2383","72105","Naranjito Municipality","Puerto Rico"
"2384","72107","Orocovis Municipality","Puerto Rico"
"2385","72109","Patillas Municipality","Puerto Rico"
"2386","72111","Peñuelas Municipality","Puerto Rico"
"2387","72113","Ponce Municipality","Puerto Rico"
"2388","72115","Quebradillas Municipality","Puerto Rico"
"2389","72117","Rincón Municipality","Puerto Rico"
"2390","72119","Río Grande Municipality","Puerto Rico"
"2391","72121","Sabana Grande Municipality","Puerto Rico"
"2392","72123","Salinas Municipality","Puerto Rico"
"2393","72125","San Germán Municipality","Puerto Rico"
"2394","72127","San Juan Municipality","Puerto Rico"
"2395","72129","San Lorenzo Municipality","Puerto Rico"
"2396","72131","San Sebastián Municipality","Puerto Rico"
"2397","72133","Santa Isabel Municipality","Puerto Rico"
"2398","72135","Toa Alta Municipality","Puerto Rico"
"2399","72137","Toa Baja Municipality","Puerto Rico"
"2400","72139","Trujillo Alto Municipality","Puerto Rico"
"2401","72141","Utuado Municipality","Puerto Rico"
"2402","72143","Vega Alta Municipality","Puerto Rico"
"2403","72145","Vega Baja Municipality","Puerto Rico"
"2404","72147","Vieques Municipality","Puerto Rico"
"2405","72149","Villalba Municipality","Puerto Rico"
"2406","72151","Yabucoa Municipality","Puerto Rico"
"2407","72153","Yauco Municipality","Puerto Rico"
"2408","44001","Bristol County[k]","Rhode Island"
"2409","44003","Kent County[k]","Rhode Island"
"2410","44005","Newport County[k]","Rhode Island"
"2411","44007","Providence County[k]","Rhode Island"
"2412","44009","Washington County[k]","Rhode Island"
"2413","45001","Abbeville County","South Carolina"
"2414","45003","Aiken County","South Carolina"
"2415","45005","Allendale County","South Carolina"
"2416","45007","Anderson County","South Carolina"
"2417","45009","Bamberg County","South Carolina"
"2418","45011","Barnwell County","South Carolina"
"2419","45013","Beaufort County","South Carolina"
"2420","45015","Berkeley County","South Carolina"
"2421","45017","Calhoun County","South Carolina"
"2422","45019","Charleston County","South Carolina"
"2423","45021","Cherokee County","South Carolina"
"2424","45023","Chester County","South Carolina"
"2425","45025","Chesterfield County","South Carolina"
"2426","45027","Clarendon County","South Carolina"
"2427","45029","Colleton County","South Carolina"
"2428","45031","Darlington County","South Carolina"
"2429","45033","Dillon County","South Carolina"
"2430","45035","Dorchester County","South Carolina"
"2431","45037","Edgefield County","South Carolina"
"2432","45039","Fairfield County","South Carolina"
"2433","45041","Florence County","South Carolina"
"2434","45043","Georgetown County","South Carolina"
"2435","45045","Greenville County","South Carolina"
"2436","45047","Greenwood County","South Carolina"
"2437","45049","Hampton County","South Carolina"
"2438","45051","Horry County","South Carolina"
"2439","45053","Jasper County","South Carolina"
"2440","45055","Kershaw County","South Carolina"
"2441","45057","Lancaster County","South Carolina"
"2442","45059","Laurens County","South Carolina"
"2443","45061","Lee County","South Carolina"
"2444","45063","Lexington County","South Carolina"
"2445","45065","McCormick County","South Carolina"
"2446","45067","Marion County","South Carolina"
"2447","45069","Marlboro County","South Carolina"
"2448","45071","Newberry County","South Carolina"
"2449","45073","Oconee County","South Carolina"
"2450","45075","Orangeburg County","South Carolina"
"2451","45077","Pickens County","South Carolina"
"2452","45079","Richland County","South Carolina"
"2453","45081","Saluda County","South Carolina"
"2454","45083","Spartanburg County","South Carolina"
"2455","45085","Sumter County","South Carolina"
"2456","45087","Union County","South Carolina"
"2457","45089","Williamsburg County","South Carolina"
"2458","45091","York County","South Carolina"
"2459","46003","Aurora County","South Dakota"
"2460","46005","Beadle County","South Dakota"
"2461","46007","Bennett County","South Dakota"
"2462","46009","Bon Homme County","South Dakota"
"2463","46011","Brookings County","South Dakota"
"2464","46013","Brown County","South Dakota"
"2465","46015","Brule County","South Dakota"
"2466","46017","Buffalo County","South Dakota"
"2467","46019","Butte County","South Dakota"
"2468","46021","Campbell County","South Dakota"
"2469","46023","Charles Mix County","South Dakota"
"2470","46025","Clark County","South Dakota"
"2471","46027","Clay County","South Dakota"
"2472","46029","Codington County","South Dakota"
"2473","46031","Corson County","South Dakota"
"2474","46033","Custer County","South Dakota"
"2475","46035","Davison County","South Dakota"
"2476","46037","Day County","South Dakota"
"2477","46039","Deuel County","South Dakota"
"2478","46041","Dewey County","South Dakota"
"2479","46043","Douglas County","South Dakota"
"2480","46045","Edmunds County","South Dakota"
"2481","46047","Fall River County","South Dakota"
"2482","46049","Faulk County","South Dakota"
"2483","46051","Grant County","South Dakota"
"2484","46053","Gregory County","South Dakota"
"2485","46055","Haakon County","South Dakota"
"2486","46057","Hamlin County","South Dakota"
"2487","46059","Hand County","South Dakota"
"2488","46061","Hanson County","South Dakota"
"2489","46063","Harding County","South Dakota"
"2490","46065","Hughes County","South Dakota"
"2491","46067","Hutchinson County","South Dakota"
"2492","46069","Hyde County","South Dakota"
"2493","46071","Jackson County","South Dakota"
"2494","46073","Jerauld County","South Dakota"
"2495","46075","Jones County","South Dakota"
"2496","46077","Kingsbury County","South Dakota"
"2497","46079","Lake County","South Dakota"
"2498","46081","Lawrence County","South Dakota"
"2499","46083","Lincoln County","South Dakota"
"2500","46085","Lyman County","South Dakota"
"2501","46087","McCook County","South Dakota"
"2502","46089","McPherson County","South Dakota"
"2503","46091","Marshall County","South Dakota"
"2504","46093","Meade County","South Dakota"
"2505","46095","Mellette County","South Dakota"
"2506","46097","Miner County","South Dakota"
"2507","46099","Minnehaha County","South Dakota"
"2508","46101","Moody County","South Dakota"
"2509","46102","Oglala Lakota County","South Dakota"
"2510","46103","Pennington County","South Dakota"
"2511","46105","Perkins County","South Dakota"
"2512","46107","Potter County","South Dakota"
"2513","46109","Roberts County","South Dakota"
"2514","46111","Sanborn County","South Dakota"
"2515","46115","Spink County","South Dakota"
"2516","46117","Stanley County","South Dakota"
"2517","46119","Sully County","South Dakota"
"2518","46121","Todd County","South Dakota"
"2519","46123","Tripp County","South Dakota"
"2520","46125","Turner County","South Dakota"
"2521","46127","Union County","South Dakota"
"2522","46129","Walworth County","South Dakota"
"2523","46135","Yankton County","South Dakota"
"2524","46137","Ziebach County","South Dakota"
"2525","47001","Anderson County","Tennessee"
"2526","47003","Bedford County","Tennessee"
"2527","47005","Benton County","Tennessee"
"2528","47007","Bledsoe County","Tennessee"
"2529","47009","Blount County","Tennessee"
"2530","47011","Bradley County","Tennessee"
"2531","47013","Campbell County","Tennessee"
"2532","47015","Cannon County","Tennessee"
"2533","47017","Carroll County","Tennessee"
"2534","47019","Carter County","Tennessee"
"2535","47021","Cheatham County","Tennessee"
"2536","47023","Chester County","Tennessee"
"2537","47025","Claiborne County","Tennessee"
"2538","47027","Clay County","Tennessee"
"2539","47029","Cocke County","Tennessee"
"2540","47031","Coffee County","Tennessee"
"2541","47033","Crockett County","Tennessee"
"2542","47035","Cumberland County","Tennessee"
"2543","47037","Davidson County","Tennessee"
"2544","47039","Decatur County","Tennessee"
"2545","47041","DeKalb County","Tennessee"
"2546","47043","Dickson County","Tennessee"
"2547","47045","Dyer County","Tennessee"
"2548","47047","Fayette County","Tennessee"
"2549","47049","Fentress County","Tennessee"
"2550","47051","Franklin County","Tennessee"
"2551","47053","Gibson County","Tennessee"
"2552","47055","Giles County","Tennessee"
"2553","47057","Grainger County","Tennessee"
"2554","47059","Greene County","Tennessee"
"2555","47061","Grundy County","Tennessee"
"2556","47063","Hamblen County","Tennessee"
"2557","47065","Hamilton County","Tennessee"
"2558","47067","Hancock County","Tennessee"
"2559","47069","Hardeman County","Tennessee"
"2560","47071","Hardin County","Tennessee"
"2561","47073","Hawkins County","Tennessee"
"2562","47075","Haywood County","Tennessee"
"2563","47077","Henderson County","Tennessee"
"2564","47079","Henry County","Tennessee"
"2565","47081","Hickman County","Tennessee"
"2566","47083","Houston County","Tennessee"
"2567","47085","Humphreys County","Tennessee"
"2568","47087","Jackson County","Tennessee"
"2569","47089","Jefferson County","Tennessee"
"2570","47091","Johnson County","Tennessee"
"2571","47093","Knox County","Tennessee"
"2572","47095","Lake County","Tennessee"
"2573","47097","Lauderdale County","Tennessee"
"2574","47099","Lawrence County","Tennessee"
"2575","47101","Lewis County","Tennessee"
"2576","47103","Lincoln County","Tennessee"
"2577","47105","Loudon County","Tennessee"
"2578","47107","McMinn County","Tennessee"
"2579","47109","McNairy County","Tennessee"
"2580","47111","Macon County","Tennessee"
"2581","47113","Madison County","Tennessee"
"2582","47115","Marion County","Tennessee"
"2583","47117","Marshall County","Tennessee"
"2584","47119","Maury County","Tennessee"
"2585","47121","Meigs County","Tennessee"
"2586","47123","Monroe County","Tennessee"
"2587","47125","Montgomery County","Tennessee"
"2588","47127","Moore County","Tennessee"
"2589","47129","Morgan County","Tennessee"
"2590","47131","Obion County","Tennessee"
"2591","47133","Overton County","Tennessee"
"2592","47135","Perry County","Tennessee"
"2593","47137","Pickett County","Tennessee"
"2594","47139","Polk County","Tennessee"
"2595","47141","Putnam County","Tennessee"
"2596","47143","Rhea County","Tennessee"
"2597","47145","Roane County","Tennessee"
"2598","47147","Robertson County","Tennessee"
"2599","47149","Rutherford County","Tennessee"
"2600","47151","Scott County","Tennessee"
"2601","47153","Sequatchie County","Tennessee"
"2602","47155","Sevier County","Tennessee"
"2603","47157","Shelby County","Tennessee"
"2604","47159","Smith County","Tennessee"
"2605","47161","Stewart County","Tennessee"
"2606","47163","Sullivan County","Tennessee"
"2607","47165","Sumner County","Tennessee"
"2608","47167","Tipton County","Tennessee"
"2609","47169","Trousdale County","Tennessee"
"2610","47171","Unicoi County","Tennessee"
"2611","47173","Union County","Tennessee"
"2612","47175","Van Buren County","Tennessee"
"2613","47177","Warren County","Tennessee"
"2614","47179","Washington County","Tennessee"
"2615","47181","Wayne County","Tennessee"
"2616","47183","Weakley County","Tennessee"
"2617","47185","White County","Tennessee"
"2618","47187","Williamson County","Tennessee"
"2619","47189","Wilson County","Tennessee"
"2620","48001","Anderson County","Texas"
"2621","48003","Andrews County","Texas"
"2622","48005","Angelina County","Texas"
"2623","48007","Aransas County","Texas"
"2624","48009","Archer County","Texas"
"2625","48011","Armstrong County","Texas"
"2626","48013","Atascosa County","Texas"
"2627","48015","Austin County","Texas"
"2628","48017","Bailey County","Texas"
"2629","48019","Bandera County","Texas"
"2630","48021","Bastrop County","Texas"
"2631","48023","Baylor County","Texas"
"2632","48025","Bee County","Texas"
"2633","48027","Bell County","Texas"
"2634","48029","Bexar County","Texas"
"2635","48031","Blanco County","Texas"
"2636","48033","Borden County","Texas"
"2637","48035","Bosque County","Texas"
"2638","48037","Bowie County","Texas"
"2639","48039","Brazoria County","Texas"
"2640","48041","Brazos County","Texas"
"2641","48043","Brewster County","Texas"
"2642","48045","Briscoe County","Texas"
"2643","48047","Brooks County","Texas"
"2644","48049","Brown County","Texas"
"2645","48051","Burleson County","Texas"
"2646","48053","Burnet County","Texas"
"2647","48055","Caldwell County","Texas"
"2648","48057","Calhoun County","Texas"
"2649","48059","Callahan County","Texas"
"2650","48061","Cameron County","Texas"
"2651","48063","Camp County","Texas"
"2652","48065","Carson County","Texas"
"2653","48067","Cass County","Texas"
"2654","48069","Castro County","Texas"
"2655","48071","Chambers County","Texas"
"2656","48073","Cherokee County","Texas"
"2657","48075","Childress County","Texas"
"2658","48077","Clay County","Texas"
"2659","48079","Cochran County","Texas"
"2660","48081","Coke County","Texas"
"2661","48083","Coleman County","Texas"
"2662","48085","Collin County","Texas"
"2663","48087","Collingsworth County","Texas"
"2664","48089","Colorado County","Texas"
"2665","48091","Comal County","Texas"
"2666","48093","Comanche County","Texas"
"2667","48095","Concho County","Texas"
"2668","48097","Cooke County","Texas"
"2669","48099","Coryell County","Texas"
"2670","48101","Cottle County","Texas"
"2671","48103","Crane County","Texas"
"2672","48105","Crockett County","Texas"
"2673","48107","Crosby County","Texas"
"2674","48109","Culberson County","Texas"
"2675","48111","Dallam County","Texas"
"2676","48113","Dallas County","Texas"
"2677","48115","Dawson County","Texas"
"2678","48117","Deaf Smith County","Texas"
"2679","48119","Delta County","Texas"
"2680","48121","Denton County","Texas"
"2681","48123","DeWitt County","Texas"
"2682","48125","Dickens County","Texas"
"2683","48127","Dimmit County","Texas"
"2684","48129","Donley County","Texas"
"2685","48131","Duval County","Texas"
"2686","48133","Eastland County","Texas"
"2687","48135","Ector County","Texas"
"2688","48137","Edwards County","Texas"
"2689","48139","Ellis County","Texas"
"2690","48141","El Paso County","Texas"
"2691","48143","Erath County","Texas"
"2692","48145","Falls County","Texas"
"2693","48147","Fannin County","Texas"
"2694","48149","Fayette County","Texas"
"2695","48151","Fisher County","Texas"
"2696","48153","Floyd County","Texas"
"2697","48155","Foard County","Texas"
"2698","48157","Fort Bend County","Texas"
"2699","48159","Franklin County","Texas"
"2700","48161","Freestone County","Texas"
"2701","48163","Frio County","Texas"
"2702","48165","Gaines County","Texas"
"2703","48167","Galveston County","Texas"
"2704","48169","Garza County","Texas"
"2705","48171","Gillespie County","Texas"
"2706","48173","Glasscock County","Texas"
"2707","48175","Goliad County","Texas"
"2708","48177","Gonzales County","Texas"
"2709","48179","Gray County","Texas"
"2710","48181","Grayson County","Texas"
"2711","48183","Gregg County","Texas"
"2712","48185","Grimes County","Texas"
"2713","48187","Guadalupe County","Texas"
"2714","48189","Hale County","Texas"
"2715","48191","Hall County","Texas"
"2716","48193","Hamilton County","Texas"
